statut,raison,set_id,set_sku,set_titre,set_prix,set_stock,instrument,modele_reconstitue,cordes,candidat_id,candidat_sku,candidat_titre,candidat_prix,candidat_stock,ecart_prix,action_recommandee
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7732,CDM-SET-VLA-08,"Brillant puissant — Evah Pirazzi complet",169.79,15.000000,alto,"evah pirazzi","La:CDM-1FA903 Pirastro Evah Pirazzi – La – Medium | Ré:CDM-31998A Pirastro Evah Pirazzi – Ré – Medium | Sol:CDM-505772 Pirastro Evah Pirazzi – Sol – Medium | Do:CDM-5DA3BA Pirastro Evah Pirazzi – Do – Medium",5688,CDM-6055EA,"Pirastro Evah Pirazzi – Medium",169.79,21.000000,0.00,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
variante_possible,"Jeu reconstitué depuis des cordes seules du même modèle, rapproché d’une variante non-SET à préciser.",7732,CDM-SET-VLA-08,"Brillant puissant — Evah Pirazzi complet",169.79,15.000000,alto,"evah pirazzi","La:CDM-1FA903 Pirastro Evah Pirazzi – La – Medium | Ré:CDM-31998A Pirastro Evah Pirazzi – Ré – Medium | Sol:CDM-505772 Pirastro Evah Pirazzi – Sol – Medium | Do:CDM-5DA3BA Pirastro Evah Pirazzi – Do – Medium",5692,CDM-6F6A0F,"Pirastro Evah Pirazzi Gold",189.09,1.000000,-19.30,"Comparer les matériaux/tension/attache avant action ; préciser le titre et la description si variante réelle."
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7732,CDM-SET-VLA-08,"Brillant puissant — Evah Pirazzi complet",169.79,15.000000,alto,"evah pirazzi","La:CDM-1FA903 Pirastro Evah Pirazzi – La – Medium | Ré:CDM-31998A Pirastro Evah Pirazzi – Ré – Medium | Sol:CDM-505772 Pirastro Evah Pirazzi – Sol – Medium | Do:CDM-5DA3BA Pirastro Evah Pirazzi – Do – Medium",5686,CDM-C77760,"Pirastro Evah Pirazzi – Light",169.79,0.000000,0.00,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
a_controler,"Jeu reconstitué depuis des cordes seules du même modèle, sans jeu non-SET trouvé automatiquement.",7733,CDM-SET-VLA-09,"Chaleur ancienne — Eudoxa complet",192.93,3.000000,alto,eudoxa,"La:CDM-9BAE42 Pirastro Eudoxa – La – Medium – 14 | Ré:CDM-5D50F0 Pirastro Eudoxa – Ré – Medium – 16 | Sol:CDM-5C7BB0 Pirastro Eudoxa – Sol – Medium – 16 1/2 | Do:CDM-1A3C8F Pirastro Eudoxa – Do – Medium – 21",,,,,,,"Vérifier manuellement si un jeu fabricant existe avec un titre atypique ou une variante à préciser."
a_controler,"Jeu reconstitué depuis des cordes seules du même modèle, sans jeu non-SET trouvé automatiquement.",7734,CDM-SET-VLA-10,"Couleur boyau — Oliv complet",275.46,1.000000,alto,oliv,"La:CDM-755BFF Pirastro Oliv – La – Medium – 3/4 | Ré:CDM-112961 Pirastro Oliv – Ré – boyau/argent – Medium – 14 1/4 | Sol:CDM-64C558 Pirastro Oliv – Sol – Medium – 17 | Do:CDM-D8FB8F Pirastro Oliv – Do – Medium – 3/4",,,,,,,"Vérifier manuellement si un jeu fabricant existe avec un titre atypique ou une variante à préciser."
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7735,CDM-SET-VLA-11,"Chaud réactif — Passione complet",187.62,4.000000,alto,passione,"La:CDM-DB63C9 Pirastro Passione – La – boyau/aluminium – Medium – 14 1/4 | Ré:CDM-EADC97 Pirastro Passione – Ré – Medium – 14 | Sol:CDM-785977 Pirastro Passione – Sol – Medium – 17 | Do:CDM-B6A1B1 Pirastro Passione – Do – Medium – 20",5696,CDM-F75C56,"Pirastro Passione – Medium",187.62,2.000000,0.00,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7736,CDM-SET-VLA-12,"Premium équilibré — Perpetual complet",189.25,3.000000,alto,perpetual,"La:CDM-41C7BC Pirastro Perpetual – La – Boule – Medium | Ré:CDM-382F4A Pirastro Perpetual – Ré – Medium | Sol:CDM-C155AC Pirastro Perpetual – Sol – Medium | Do:CDM-B676AC Pirastro Perpetual – Do – Medium",5698,CDM-B547B6,"Pirastro Perpetual – Boule – Medium",189.24,6.000000,0.01,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7737,CDM-SET-VLA-13,"Projection contrôlée — Rondo complet",179.53,3.000000,alto,rondo,"La:CDM-D66E1F Thomastik Rondo – La – 4/4 | Ré:CDM-C13328 Thomastik Rondo – Re – 4/4 | Sol:CDM-9961D4 Thomastik Rondo – Sol – 4/4 | Do:CDM-07EF83 Thomastik Rondo – Do – 4/4",5728,CDM-06D315,"Thomastik Rondo – 4/4",179.52,25.000000,0.01,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
variante_possible,"Jeu reconstitué depuis des cordes seules du même modèle, rapproché d’une variante non-SET à préciser.",7737,CDM-SET-VLA-13,"Projection contrôlée — Rondo complet",179.53,3.000000,alto,rondo,"La:CDM-D66E1F Thomastik Rondo – La – 4/4 | Ré:CDM-C13328 Thomastik Rondo – Re – 4/4 | Sol:CDM-9961D4 Thomastik Rondo – Sol – 4/4 | Do:CDM-07EF83 Thomastik Rondo – Do – 4/4",5730,CDM-613EE8,"Thomastik Rondo Gold",189.69,17.000000,-10.16,"Comparer les matériaux/tension/attache avant action ; préciser le titre et la description si variante réelle."
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7738,CDM-SET-VLA-14,"Timbre moderne — Peter Infeld complet",190.31,4.000000,alto,"peter infeld","La:CDM-91C70D Thomastik Peter Infeld – La | Ré:CDM-52F37F Thomastik Peter Infeld – Re | Sol:CDM-DA5BAE Thomastik Peter Infeld – Sol | Do:CDM-5D8EE2 Thomastik Peter Infeld – Do",5724,CDM-56C98A,"Thomastik Peter Infeld",190.31,10.000000,0.00,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
a_controler,"Jeu reconstitué depuis des cordes seules du même modèle, sans jeu non-SET trouvé automatiquement.",7739,CDM-SET-VLA-15,"Brillant souple — Kaplan Vivo complet",105.62,4.000000,alto,"d kaplan vivo","La:CDM-CF6422 D'Addario Kaplan Vivo – La – Medium – Long | Ré:CDM-D2AC0A D'Addario Kaplan Vivo – Ré – Medium – Long | Sol:CDM-21B954 D'Addario Kaplan Vivo – Sol – Medium – Long | Do:CDM-84FA2A D'Addario Kaplan Vivo – Do – Medium – Long",,,,,,,"Vérifier manuellement si un jeu fabricant existe avec un titre atypique ou une variante à préciser."
